Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
14-00129901,Coyote Complaints,Phone,Closed,07/01/2014 11:31:03 AM,06/29/2014 10:37:17 AM,07/01/2014 11:31:04 AM,07/01/2014 11:31:03 AM,"1412 THIBODEAUX DR, ROUND ROCK, TX",1412,THIBODEAUX,ROUND ROCK,78664,WILLIAMSON,3139099.52988937,10148249.1809726,30.47947599,-97.65841165,"(30.47947599, -97.65841165)",,407S,MN40
14-00160898,Coyote Complaints,Phone,Closed,08/04/2014 03:35:00 PM,08/02/2014 08:45:54 PM,08/04/2014 03:35:00 PM,08/04/2014 03:35:00 PM,"7930 WEST RIM DR, AUSTIN, TX",7930,WEST RIM,AUSTIN,78731,TRAVIS,3105695.53428584,10108665.2813489,30.37282934,-97.76732668,"(30.37282934, -97.76732668)",10,494Y,MH31
14-00159539,Coyote Complaints,Phone,Closed,08/04/2014 03:25:40 PM,08/01/2014 09:52:13 AM,08/04/2014 03:25:40 PM,08/04/2014 03:25:40 PM,"800 BARTON BLVD, AUSTIN, TX",800,BARTON,AUSTIN,78704,TRAVIS,3106538.32848412,10067807.3828441,30.26046297,-97.76764284,"(30.26046297, -97.76764284)",5,614C,MH21
14-00130895,Coyote Complaints,Phone,Closed,07/01/2014 11:32:55 AM,06/30/2014 02:56:37 PM,07/01/2014 11:32:56 AM,07/01/2014 11:32:55 AM,"11507 KEMPWOOD DR, AUSTIN, TX",11507,KEMPWOOD,AUSTIN,78750,TRAVIS,3100420.51093912,10130490.5726569,30.43315802,-97.78246301,"(30.43315802, -97.78246301)",6,464A,MG36
14-00135759,Coyote Complaints,Phone,Closed,07/07/2014 09:10:37 AM,07/05/2014 12:19:56 PM,07/07/2014 09:10:37 AM,07/07/2014 09:10:37 AM,"2608 DEL CURTO RD 4, AUSTIN, TX",2608,DEL CURTO,AUSTIN,78704,TRAVIS,3103678.77996631,10061644.0813493,30.24370192,-97.77714637,"(30.24370192, -97.77714637)",5,614P,MG20
14-00158625,Coyote Complaints,Phone,Closed,08/04/2014 03:15:44 PM,07/31/2014 11:42:30 AM,08/04/2014 03:15:45 PM,08/04/2014 03:15:44 PM,"5600 REPUBLIC OF TEXAS BLVD, AUSTIN, TX",5600,REPUBLIC OF TEXAS,AUSTIN,78735,TRAVIS,3083248.94883428,10063569.026582,30.25026775,-97.84169211,"(30.25026775, -97.84169211)",8,612H,MD21
14-00183288,Coyote Complaints,Phone,Closed,09/04/2014 02:40:07 PM,08/29/2014 12:07:17 PM,09/04/2014 02:40:08 PM,09/04/2014 02:40:07 PM,"4060 BERKMAN DR, AUSTIN, TX",4060,BERKMAN,AUSTIN,78723,TRAVIS,3127607.80143958,10080175.3662289,30.29310694,-97.69999853,"(30.29310694, -97.69999853)",9,586A,ML24
14-00165284,Coyote Complaints,Phone,Closed,08/13/2014 11:44:08 AM,08/08/2014 08:24:55 AM,08/13/2014 11:44:09 AM,08/13/2014 11:44:08 AM,"6300 SHOAL CREEK BLVD, AUSTIN, TX",6300,SHOAL CREEK,AUSTIN,78757,TRAVIS,3112495.63764538,10097386.6705424,30.34139294,-97.74660027,"(30.34139294, -97.74660027)",7,525S,MJ28
14-00185998,Coyote Complaints,Phone,Closed,09/04/2014 02:49:44 PM,09/02/2014 12:24:09 PM,09/04/2014 02:49:45 PM,09/04/2014 02:49:44 PM,"9505 SAUGUS LN, AUSTIN, TX",9505,SAUGUS,AUSTIN,78733,TRAVIS,3077595.97963879,10097570.7302116,30.34408241,-97.85719427,"(30.34408241, -97.85719427)",,522P,MC29
14-00152969,Coyote Complaints,Phone,Closed,07/30/2014 07:54:25 AM,07/24/2014 04:07:26 PM,07/30/2014 07:54:25 AM,07/30/2014 07:54:25 AM,"3809 SPICEWOOD SPRINGS RD EB F&G, AUSTIN, TX",3809,SPICEWOOD SPRINGS RD,AUSTIN,78731,TRAVIS,3111284.74536362,10105688.8437847,30.36429183,-97.74982667,"(30.36429183, -97.74982667)",10,525A,MJ30
14-00133291,Coyote Complaints,Phone,Closed,07/07/2014 09:06:04 AM,07/02/2014 11:22:50 PM,07/07/2014 09:06:04 AM,07/07/2014 09:06:04 AM,"BLUFF SPRINGS RD & QUICKSILVER BLVD, AUSTIN, TX",,BLUFF SPRINGS RD & QUICKSILVER BLVD,AUSTIN,78744,TRAVIS,3106545.42,10037685.99,30.17766335,-97.76981881,"(30.17766335, -97.76981881)",,674L,MH14
14-00162079,Coyote Complaints,Phone,Closed,08/04/2014 03:35:46 PM,08/04/2014 03:03:22 PM,08/04/2014 03:35:47 PM,08/04/2014 03:35:46 PM,"6119 OLIVER LOVING TRL, AUSTIN, TX",6119,OLIVER LOVING,AUSTIN,78749,TRAVIS,3075199.79300799,10053652.7029892,30.22350183,-97.86787416,"(30.22350183, -97.86787416)",8,642A,MC18
14-00156212,Coyote Complaints,Phone,Duplicate (closed),07/30/2014 07:56:14 AM,07/28/2014 03:07:28 PM,07/30/2014 07:56:14 AM,07/30/2014 07:56:14 AM,"THREADGILL ST & TOM MILLER ST, AUSTIN, TX",,THREADGILL ST & TOM MILLER ST,AUSTIN,78723,TRAVIS,3127603.74625,10079081.29125,30.29009978,-97.70009343,"(30.29009978, -97.70009343)",9,586E,ML24
14-00132767,Coyote Complaints,Phone,Closed,07/07/2014 09:05:31 AM,07/02/2014 12:47:04 PM,07/07/2014 09:05:31 AM,07/07/2014 09:05:31 AM,"4700 RAMIES RUN, AUSTIN, TX",4700,RAMIES,AUSTIN,78749,TRAVIS,3077635.9368376,10045361.3435992,30.20056104,-97.86074621,"(30.20056104, -97.86074621)",8,642T,MC16
14-00186983,Coyote Complaints,Phone,Closed,09/04/2014 02:51:42 PM,09/03/2014 12:49:34 PM,09/04/2014 02:51:42 PM,09/04/2014 02:51:42 PM,"11001 PARSONS RD, AUSTIN 5 ETJ, TX",11001,PARSONS,AUSTIN 5 ETJ,78653,TRAVIS,3185799.64202064,10087036.9773199,30.30804772,-97.51512691,"(30.30804772, -97.51512691)",,560U,MV25
14-00147670,Coyote Complaints,Phone,Closed,07/20/2014 03:49:21 PM,07/18/2014 06:16:53 PM,07/20/2014 03:49:22 PM,07/20/2014 03:49:21 PM,"4512 EAGLE FEATHER DR, AUSTIN, TX",4512,EAGLE FEATHER,AUSTIN,78735,TRAVIS,3087340.3866327,10060917.4742138,30.24272632,-97.82892653,"(30.24272632, -97.82892653)",8,613N,ME20
14-00140987,Coyote Complaints,Phone,Closed,07/13/2014 12:26:01 PM,07/11/2014 10:42:29 AM,07/13/2014 12:26:01 PM,07/13/2014 12:26:01 PM,"W BRAKER LN & STONELAKE BLVD, AUSTIN, TX",,W BRAKER LN & STONELAKE BLVD,AUSTIN,78759,TRAVIS,3114312.75,10118370.37,30.39895785,-97.73929042,"(30.39895785, -97.73929042)",7,495B,MJ33
14-00226802,Coyote Complaints,Phone,Closed,10/21/2014 12:41:39 PM,10/20/2014 10:58:16 PM,10/21/2014 12:41:40 PM,10/21/2014 12:41:39 PM,"CHIMNEY CORNERS & FAR WEST BLVD, AUSTIN, TX",,CHIMNEY CORNERS & FAR WEST BLVD,AUSTIN,78731,TRAVIS,3107802.56,10103002.62,30.35712962,-97.76106205,"(30.35712962, -97.76106205)",10,524G,MH30
14-00148088,Coyote Complaints,Phone,Closed,07/20/2014 03:49:56 PM,07/19/2014 10:27:27 AM,07/20/2014 03:49:56 PM,07/20/2014 03:49:56 PM,"1713 JACKSON DR, CEDAR PARK, TX",1713,JACKSON,CEDAR PARK,78613,WILLIAMSON,3090450.76286576,10142829.8707372,30.46770224,-97.81320284,"(30.46770224, -97.81320284)",,433B,ME39
14-00184529,Coyote Complaints,Phone,Closed,09/01/2014 08:39:56 AM,08/31/2014 06:12:08 AM,09/01/2014 08:39:56 AM,09/01/2014 08:39:56 AM,"3803 CIMA SERENA, AUSTIN, TX",3803,CIMA SERENA,AUSTIN,78759,TRAVIS,3111833.78215365,10109487.6765456,30.37469923,-97.74780631,"(30.37469923, -97.74780631)",10,495S,MJ31
14-00182264,Coyote Complaints,Phone,Closed,08/28/2014 12:53:34 PM,08/28/2014 07:13:56 AM,08/28/2014 12:53:34 PM,08/28/2014 12:53:34 PM,"ABILENE TRL & OASIS DR, AUSTIN, TX",,ABILENE TRL & OASIS DR,AUSTIN,78749,TRAVIS,3074878,10052232,30.21961606,-97.86899242,"(30.21961606, -97.86899242)",8,642E,MC18
14-00223691,Coyote Complaints,Phone,Closed,10/17/2014 12:37:58 PM,10/17/2014 07:42:35 AM,10/17/2014 12:37:58 PM,10/17/2014 12:37:58 PM,"7516 STONECLIFF DR, AUSTIN, TX",7516,STONECLIFF,AUSTIN,78731,TRAVIS,3109741.12357632,10104483.8930245,30.36107805,-97.75480847,"(30.36107805, -97.75480847)",10,524H,MH30
14-00162543,Coyote Complaints,Phone,Closed,08/13/2014 11:40:15 AM,08/05/2014 07:43:41 AM,08/13/2014 11:40:16 AM,08/13/2014 11:40:15 AM,"TERRAVISTA DR & JOURNEYVILLE DR, AUSTIN, TX",,TERRAVISTA DR & JOURNEYVILLE DR,AUSTIN,78735,TRAVIS,3072004.70999999,10063017.69,30.24943967,-97.87733338,"(30.24943967, -97.87733338)",8,611M,MB20
14-00226439,Coyote Complaints,Phone,Closed,10/21/2014 10:30:05 AM,10/20/2014 02:47:52 PM,10/21/2014 10:30:06 AM,10/21/2014 10:30:05 AM,"811 THERESA AVE, AUSTIN, TX",811,THERESA,AUSTIN,78703,TRAVIS,3106967.61296229,10074901.9927905,30.27993782,-97.76576486,"(30.27993782, -97.76576486)",9,584L,MH23
14-00140401,Coyote Complaints,Phone,Closed,07/13/2014 12:25:32 PM,07/10/2014 05:39:29 PM,07/13/2014 12:25:33 PM,07/13/2014 12:25:32 PM,"5616 N SCOUT ISLAND CIR, AUSTIN, TX",5616,SCOUT ISLAND,AUSTIN,78731,TRAVIS,3098846.3788797,10102645.8320594,30.35671509,-97.78947685,"(30.35671509, -97.78947685)",10,524E,MG30
14-00210166,Coyote Complaints,Phone,Closed,10/07/2014 02:19:00 PM,10/01/2014 09:44:24 AM,10/07/2014 02:19:00 PM,10/07/2014 02:19:00 PM,"CHERRYWOOD RD &E 40TH ST, AUSTIN, TX",,CHERRYWOOD RD &E 40TH ST,AUSTIN,78722,TRAVIS,3123732.5,10080330,30.29378363,-97.71226241,"(30.29378363, -97.71226241)",9,585D,MK24
14-00144500,Coyote Complaints,Phone,Closed,07/20/2014 03:46:41 PM,07/15/2014 11:11:05 AM,07/20/2014 03:46:41 PM,07/20/2014 03:46:41 PM,"8302 FARMINGTON CT, AUSTIN, TX",8302,FARMINGTON,AUSTIN,78736,TRAVIS,3067050.25,10059662,30.24051491,-97.89325374,"(30.24051491, -97.89325374)",8,611Q,MB20
14-00226859,Coyote Complaints,Phone,Closed,10/21/2014 12:43:48 PM,10/21/2014 05:37:55 AM,10/21/2014 12:43:49 PM,10/21/2014 12:43:48 PM,"8001 S US 183 HWY, AUSTIN 5 ETJ, TX",8001,183,AUSTIN 5 ETJ,78719,TRAVIS,3130019.90111246,10024991.4752908,30.14125995,-97.69650217,"(30.14125995, -97.69650217)",,706K,ML11
14-00218030,Coyote Complaints,Phone,Closed,10/17/2014 01:51:35 PM,10/10/2014 02:50:24 PM,10/17/2014 01:51:36 PM,10/17/2014 01:51:35 PM,"4408 HAYRIDE LN, AUSTIN, TX",4408,HAYRIDE,AUSTIN,78744,TRAVIS,3128228.5,10043143,30.19127143,-97.70080892,"(30.19127143, -97.70080892)",,676A,ML15
14-00208352,Coyote Complaints,Phone,Closed,09/29/2014 01:37:46 PM,09/29/2014 11:49:41 AM,09/29/2014 01:37:46 PM,09/29/2014 01:37:46 PM,"1617 W 9TH ST, AUSTIN, TX",1617,9TH,AUSTIN,78703,TRAVIS,3108125.6118133,10074166.552112,30.27784266,-97.76215109,"(30.27784266, -97.76215109)",9,584Q,MH23
14-00163375,Coyote Complaints,Phone,Closed,08/13/2014 11:41:33 AM,08/06/2014 02:40:15 AM,08/13/2014 11:41:33 AM,08/13/2014 11:41:33 AM,"1805 CINNAMON PATH, AUSTIN, TX",1805,CINNAMON,AUSTIN,78704,TRAVIS,3103639.03888209,10061187.3650416,30.24244898,-97.77730542,"(30.24244898, -97.77730542)",5,614P,MG20
14-00181371,Coyote Complaints,Phone,Closed,08/28/2014 12:53:05 PM,08/27/2014 01:10:04 AM,08/28/2014 12:53:05 PM,08/28/2014 12:53:05 PM,"711 EBERHART LN, AUSTIN, TX",711,EBERHART,AUSTIN,78745,TRAVIS,3101118.60889167,10045984.8514539,30.20081838,-97.78638727,"(30.20081838, -97.78638727)",2,644S,MG16
14-00139447,Coyote Complaints,Phone,Closed,07/13/2014 12:22:38 PM,07/09/2014 04:15:56 PM,07/13/2014 12:22:39 PM,07/13/2014 12:22:38 PM,"2608 DEL CURTO RD, AUSTIN, TX",2608,DEL CURTO,AUSTIN,78704,TRAVIS,3103678.77996631,10061644.0813493,30.24370192,-97.77714637,"(30.24370192, -97.77714637)",5,614P,MG20
14-00162231,Coyote Complaints,Phone,Closed,08/13/2014 11:39:03 AM,08/04/2014 05:47:32 PM,08/13/2014 11:39:04 AM,08/13/2014 11:39:03 AM,"7000 WHEELER BRANCH TRL, AUSTIN, TX",7000,WHEELER BRANCH,AUSTIN,78749,TRAVIS,3079126.8863673,10053959.4842107,30.22410524,-97.85542164,"(30.22410524, -97.85542164)",8,642B,MC18
14-00209874,Coyote Complaints,Phone,Closed,10/07/2014 02:16:44 PM,09/30/2014 07:55:21 PM,10/07/2014 02:16:45 PM,10/07/2014 02:16:44 PM,"BROOKVIEW RD &E 39TH ST, AUSTIN, TX",,BROOKVIEW RD &E 39TH ST,AUSTIN,78722,TRAVIS,3124474.5,10079415,30.29122036,-97.7099804,"(30.29122036, -97.7099804)",9,585H,MK24
14-00179749,Coyote Complaints,Phone,Closed,08/25/2014 01:14:24 PM,08/25/2014 12:13:44 PM,08/25/2014 01:14:24 PM,08/25/2014 01:14:24 PM,"8010 ISAAC PRYOR DR, AUSTIN, TX",8010,ISAAC PRYOR,AUSTIN,78749,TRAVIS,3074221.43948135,10051971.0350898,30.21893866,-97.87108892,"(30.21893866, -97.87108892)",8,642E,MC18
14-00145904,Coyote Complaints,Phone,Closed,07/20/2014 03:47:22 PM,07/17/2014 08:03:48 AM,07/20/2014 03:47:23 PM,07/20/2014 03:47:22 PM,"8303 GALLATIN DR, AUSTIN, TX",8303,GALLATIN,AUSTIN,78736,TRAVIS,3065878.5382325,10058333.204463,30.23693276,-97.89705553,"(30.23693276, -97.89705553)",8,611T,MA19
14-00144102,Coyote Complaints,Phone,Closed,07/20/2014 03:45:32 PM,07/14/2014 08:18:20 PM,07/20/2014 03:45:32 PM,07/20/2014 03:45:32 PM,"4402 BUCKS RUN, AUSTIN, TX",4402,BUCKS,AUSTIN,78744,TRAVIS,3110184.26588478,10039186.1997699,30.18155612,-97.75819614,"(30.18155612, -97.75819614)",2,674H,MH15
14-00211774,Coyote Complaints,Phone,Closed,10/07/2014 02:20:28 PM,10/03/2014 08:14:35 AM,10/07/2014 02:20:29 PM,10/07/2014 02:20:28 PM,"12311 DANNY DR, AUSTIN, TX",12311,DANNY,AUSTIN,78759,TRAVIS,3122899.69489569,10125201.715492,30.41718274,-97.71154986,"(30.41718274, -97.71154986)",7,465R,MK35
14-00226849,Coyote Complaints,Phone,Closed,10/21/2014 12:43:05 PM,10/21/2014 03:29:10 AM,10/21/2014 12:43:05 PM,10/21/2014 12:43:05 PM,"9801 W PARMER LN, AUSTIN, TX",9801,PARMER,AUSTIN,78717,WILLIAMSON,3103771.66685155,10149627.9635853,30.48555273,-97.7704334,"(30.48555273, -97.7704334)",6,404Q,MH41
14-00147117,Coyote Complaints,Phone,Closed,07/20/2014 03:48:54 PM,07/18/2014 10:42:42 AM,07/20/2014 03:48:55 PM,07/20/2014 03:48:54 PM,"10112 CHILTERN FOREST DR, AUSTIN, TX",10112,CHILTERN FOREST,AUSTIN,78717,WILLIAMSON,3104456.9136884,10154739.6443399,30.4995607,-97.76788421,"(30.4995607, -97.76788421)",6,404G,MH42
14-00137059,Coyote Complaints,Phone,Closed,07/13/2014 11:34:22 AM,07/07/2014 09:50:36 AM,07/13/2014 11:34:22 AM,07/13/2014 11:34:22 AM,"7902 CHARLESTON PL, AUSTIN, TX",7902,CHARLESTON,AUSTIN,78731,TRAVIS,3109575.56134827,10106249.4253857,30.36594181,-97.75520355,"(30.36594181, -97.75520355)",10,524D,MH30
14-00223752,Coyote Complaints,Phone,Duplicate (closed),10/17/2014 12:37:58 PM,10/17/2014 08:45:39 AM,10/17/2014 12:37:58 PM,10/17/2014 12:37:58 PM,"7516 STONECLIFF DR, AUSTIN, TX",7516,STONECLIFF,AUSTIN,78731,TRAVIS,3109741.12357632,10104483.8930245,30.36107805,-97.75480847,"(30.36107805, -97.75480847)",10,524H,MH30
14-00212507,Coyote Complaints,Phone,Duplicate (closed),10/07/2014 02:22:10 PM,10/03/2014 09:38:01 PM,10/07/2014 02:22:10 PM,10/07/2014 02:22:10 PM,"2105 PLUMBROOK DR, AUSTIN, TX",2105,PLUMBROOK,AUSTIN,78746,TRAVIS,3086109.72043982,10072334.8081219,30.27418747,-97.83200992,"(30.27418747, -97.83200992)",,583N,ME23
14-00144248,Coyote Complaints,Phone,Closed,07/20/2014 03:46:08 PM,07/15/2014 08:08:25 AM,07/20/2014 03:46:08 PM,07/20/2014 03:46:08 PM,"3961 SENDERO DR, AUSTIN, TX",3961,SENDERO,AUSTIN,78735,TRAVIS,3087120.65311033,10065401.841911,30.25506695,-97.82930257,"(30.25506695, -97.82930257)",8,613E,ME21
14-00210545,Coyote Complaints,Phone,Closed,10/07/2014 02:20:01 PM,10/01/2014 04:43:49 PM,10/07/2014 02:20:02 PM,10/07/2014 02:20:01 PM,"1902 RINGTAIL RIDGE, AUSTIN, TX",1902,RINGTAIL RIDGE,AUSTIN,78746,TRAVIS,3085605.07825767,10073448.0377553,30.27727881,-97.83352891,"(30.27727881, -97.83352891)",,583N,ME23
14-00181372,Coyote Complaints,Phone,Duplicate (closed),08/28/2014 12:53:05 PM,08/27/2014 01:27:26 AM,08/28/2014 12:53:05 PM,08/28/2014 12:53:05 PM,"711 EBERHART LN, AUSTIN, TX",711,EBERHART,AUSTIN,78745,TRAVIS,3101118.60889167,10045984.8514539,30.20081838,-97.78638727,"(30.20081838, -97.78638727)",2,644S,MG16
14-00210216,Coyote Complaints,Phone,Closed,10/07/2014 02:19:26 PM,10/01/2014 10:32:06 AM,10/07/2014 02:19:27 PM,10/07/2014 02:19:26 PM,"MAPLEWOOD AVE &E 38TH HALF ST, AUSTIN, TX",,MAPLEWOOD AVE &E 38TH HALF ST,AUSTIN,78722,TRAVIS,3123040.5,10079743,30.29221488,-97.71449819,"(30.29221488, -97.71449819)",9,585D,MK24
14-00162742,Coyote Complaints,Phone,Closed,08/13/2014 11:40:46 AM,08/05/2014 10:55:16 AM,08/13/2014 11:40:46 AM,08/13/2014 11:40:46 AM,"STEINER RANCH BLVD &N QUINLAN PARK RD, AUSTIN, TX",,STEINER RANCH BLVD &N QUINLAN PARK RD,AUSTIN,78732,TRAVIS,3066493.16,10106476.3,30.36923795,-97.8917639,"(30.36923795, -97.8917639)",,491Y,MB31
14-00179760,Coyote Complaints,Phone,Closed,08/25/2014 01:11:00 PM,08/25/2014 12:20:19 PM,08/25/2014 01:11:01 PM,08/25/2014 01:11:00 PM,"705 PATTERSON AVE, AUSTIN, TX",705,PATTERSON,AUSTIN,78703,TRAVIS,3106993.5467952,10074181.3279043,30.27795517,-97.76573541,"(30.27795517, -97.76573541)",9,584Q,MH23
14-00140011,Coyote Complaints,Phone,Closed,07/13/2014 12:24:48 PM,07/10/2014 10:07:22 AM,07/13/2014 12:24:48 PM,07/13/2014 12:24:48 PM,"5208 RAMBLING RANGE, AUSTIN, TX",5208,RAMBLING RANGE,AUSTIN,78727,TRAVIS,3114630.30762192,10126464.4314236,30.42118693,-97.7376844,"(30.42118693, -97.7376844)",6,465K,MJ35
14-00141725,Coyote Complaints,Phone,Closed,07/13/2014 12:26:35 PM,07/12/2014 09:22:55 AM,07/13/2014 12:26:36 PM,07/13/2014 12:26:35 PM,"6703 ONE OAK RD, AUSTIN, TX",6703,ONE OAK,AUSTIN,78749,TRAVIS,3082290.47700723,10053992.3098766,30.22400134,-97.84540519,"(30.22400134, -97.84540519)",8,642C,MD18
14-00213429,Coyote Complaints,Phone,Duplicate (closed),10/07/2014 02:22:44 PM,10/05/2014 06:51:04 AM,10/07/2014 02:22:44 PM,10/07/2014 02:22:44 PM,"802 S 1ST ST, AUSTIN, TX",802,1ST,AUSTIN,78704,TRAVIS,3111442.34994446,10065913.112661,30.254944,-97.75225316,"(30.254944, -97.75225316)",9,614H,MH21
14-00226832,Coyote Complaints,Phone,Closed,10/21/2014 12:42:27 PM,10/21/2014 12:09:15 AM,10/21/2014 12:42:28 PM,10/21/2014 12:42:27 PM,"1709 WESTOVER RD, AUSTIN, TX",1709,WESTOVER,AUSTIN,78703,TRAVIS,3109503.73709705,10082062.5219152,30.29945991,-97.75720715,"(30.29945991, -97.75720715)",9,554Z,MH25
14-00147059,Coyote Complaints,Phone,Closed,07/20/2014 03:48:06 PM,07/18/2014 09:53:11 AM,07/20/2014 03:48:06 PM,07/20/2014 03:48:06 PM,"7200 ROARING SPRINGS DR, AUSTIN, TX",7200,ROARING SPRINGS,AUSTIN,78736,TRAVIS,3064702.0325705,10060887.3119279,30.2440246,-97.90060335,"(30.2440246, -97.90060335)",8,611P,MA20
14-00176779,Coyote Complaints,Phone,Duplicate (closed),08/28/2014 12:48:00 PM,08/21/2014 06:54:49 PM,08/28/2014 12:48:00 PM,08/28/2014 12:48:00 PM,"8104 TAHOE PARKE CIR, AUSTIN, TX",8104,TAHOE PARKE,AUSTIN,78726,TRAVIS,3076947.32936448,10126011.0461869,30.42230241,-97.8572434,"(30.42230241, -97.8572434)",6,462K,MC35
14-00209899,Coyote Complaints,Phone,Closed,10/07/2014 02:18:20 PM,09/30/2014 08:33:13 PM,10/07/2014 02:18:21 PM,10/07/2014 02:18:20 PM,"1402 CRESTWOOD RD, AUSTIN, TX",1402,CRESTWOOD,AUSTIN,78722,TRAVIS,3123665.48540207,10082218.7235987,30.29897976,-97.7123337,"(30.29897976, -97.7123337)",9,555Z,MK25
14-00199974,Coyote Complaints,Phone,Closed,10/08/2014 05:10:17 PM,09/19/2014 05:05:10 AM,10/08/2014 05:10:18 PM,10/08/2014 05:10:17 PM,"1912 JESSE OWENS DR, AUSTIN, TX",1912,JESSE OWENS,AUSTIN,78748,TRAVIS,3085204.66,10028904.7891196,30.15485922,-97.83796226,"(30.15485922, -97.83796226)",5,702D,MD12
14-00167680,Coyote Complaints,Phone,Closed,09/16/2014 02:14:58 PM,08/11/2014 08:50:36 AM,09/16/2014 02:14:59 PM,09/16/2014 02:14:58 PM,"6731 CUESTA TRL, AUSTIN, TX",6731,CUESTA,AUSTIN,78730,TRAVIS,3091846.6390011,10110448.7102219,30.37860258,-97.81110346,"(30.37860258, -97.81110346)",10,493U,MF31
14-00171134,Coyote Complaints,Phone,Closed,09/16/2014 02:16:34 PM,08/15/2014 09:23:55 AM,09/16/2014 02:16:34 PM,09/16/2014 02:16:34 PM,"MERIDIAN PARK BLVD & SH 45 EB, AUSTIN, TX",,MERIDIAN PARK BLVD & SH 45 EB,AUSTIN,78739,TRAVIS,3059354.34,10040889.84,30.18937334,-97.91890926,"(30.18937334, -97.91890926)",8,670D,WZ15
14-00124602,Coyote Complaints,Phone,Closed,09/16/2014 02:24:33 PM,06/23/2014 09:50:25 AM,09/16/2014 02:24:34 PM,09/16/2014 02:24:33 PM,"605 ROBERT E LEE RD, AUSTIN, TX",605,ROBERT E LEE,AUSTIN,78704,TRAVIS,3106828.71187501,10068740.263125,30.26300891,-97.76665515,"(30.26300891, -97.76665515)",5,584Y,MH22
14-00192208,Coyote Complaints,Phone,Closed,09/16/2014 02:01:33 PM,09/09/2014 06:26:45 PM,09/16/2014 02:01:34 PM,09/16/2014 02:01:33 PM,"614 S 1ST ST, AUSTIN, TX",614,1ST,AUSTIN,78704,TRAVIS,3111834.92742239,10066677.6793667,30.25702063,-97.7509539,"(30.25702063, -97.7509539)",9,614D,MH21
14-00188564,Coyote Complaints,Phone,Closed,09/16/2014 01:38:06 PM,09/05/2014 08:54:00 AM,09/16/2014 01:38:07 PM,09/16/2014 01:38:06 PM,"WOODCREEK RD & WHEELER BRANCH TRL, AUSTIN, TX",,WOODCREEK RD & WHEELER BRANCH TRL,AUSTIN,78749,TRAVIS,3080165.72,10052685.58,30.22053975,-97.85222324,"(30.22053975, -97.85222324)",8,642G,MD18
14-00167682,Coyote Complaints,Phone,Duplicate (closed),09/16/2014 02:14:58 PM,08/11/2014 08:52:13 AM,09/16/2014 02:14:58 PM,09/16/2014 02:14:58 PM,"6731 CUESTA TRL, AUSTIN, TX",6731,CUESTA,AUSTIN,78730,TRAVIS,3091846.6390011,10110448.7102219,30.37860258,-97.81110346,"(30.37860258, -97.81110346)",10,493U,MF31
14-00190687,Coyote Complaints,Phone,Closed,09/16/2014 01:40:57 PM,09/08/2014 08:40:33 AM,09/16/2014 01:40:58 PM,09/16/2014 01:40:57 PM,"2104 GRANBERRY DR, AUSTIN, TX",2104,GRANBERRY,AUSTIN,78745,TRAVIS,3093235.79898305,10045454.304744,30.19985375,-97.81137164,"(30.19985375, -97.81137164)",5,643U,MF16
14-00213061,Coyote Complaints,Phone,Closed,10/07/2014 02:24:22 PM,10/04/2014 06:02:21 PM,10/07/2014 02:24:22 PM,10/07/2014 02:24:22 PM,"5106 SPLIT CEDAR CV, AUSTIN, TX",5106,SPLIT CEDAR,AUSTIN,78735,TRAVIS,3085857.82389905,10063286.0035159,30.24932883,-97.83345183,"(30.24932883, -97.83345183)",8,613J,ME20
14-00173801,Coyote Complaints,Phone,Closed,09/16/2014 02:20:26 PM,08/18/2014 02:11:57 PM,09/16/2014 02:20:27 PM,09/16/2014 02:20:26 PM,"6203 DIAMOND HEAD CIR, AUSTIN, TX",6203,DIAMOND HEAD,AUSTIN,78746,TRAVIS,3084588.43616479,10076498.2935939,30.28572643,-97.83653192,"(30.28572643, -97.83653192)",,582H,MD24
14-00192364,Coyote Complaints,Phone,Closed,09/16/2014 02:01:57 PM,09/10/2014 05:16:01 AM,09/16/2014 02:01:58 PM,09/16/2014 02:01:57 PM,"1912 JESSE OWENS DR, AUSTIN, TX",1912,JESSE OWENS,AUSTIN,78748,TRAVIS,3085204.66,10028904.7891196,30.15485922,-97.83796226,"(30.15485922, -97.83796226)",5,702D,MD12
14-00176313,Coyote Complaints,Phone,Closed,08/28/2014 12:47:12 PM,08/21/2014 10:48:27 AM,08/28/2014 12:47:12 PM,08/28/2014 12:47:12 PM,"ESCARPMENT BLVD &W WILLIAM CANNON DR, AUSTIN, TX",,ESCARPMENT BLVD &W WILLIAM CANNON DR,AUSTIN,78749,TRAVIS,3076196.64,10056035.86,30.22999212,-97.86455128,"(30.22999212, -97.86455128)",8,612X,MC19
14-00170103,Coyote Complaints,Phone,Closed,09/16/2014 02:16:11 PM,08/13/2014 11:33:08 PM,09/16/2014 02:16:12 PM,09/16/2014 02:16:11 PM,"2103 PLUMBROOK DR, AUSTIN, TX",2103,PLUMBROOK,AUSTIN,78746,TRAVIS,3086110.0894807,10072344.0814569,30.27421294,-97.83200809,"(30.27421294, -97.83200809)",,583N,ME23
